Country,Region,Income Level,Healthcare System Type,Healthcare Expenditure (% GDP),Hospitals per Million People,"Doctors per 1,000 People",Average Life Expectancy,"Infant Mortality Rate (per 1,000)",Universal Healthcare Coverage (%),Vaccination Rate (%),Wait Time for Treatment (Days),Patient Satisfaction Score (1-10),"Medical Staff per 1,000 People","Hospital Beds per 1,000 People",Emergency Response Time (Minutes),Healthcare Quality Index (0-100),Spending Efficiency Score (0-100)
Burkina Faso,Africa,Low,Single-payer,4.410882036,47,1.212926351,52.61744657,34.05388928,41.61187098,35.15544468,116,3.837931405,6.336260392,0.929142431,33,21.6209674,11.95975737
Sri Lanka,South Asia,Lower-Middle,Multi-payer,2.062204382,204,0.843718078,66.51875305,12.06585521,42.24019954,65.52074018,28,3.89415552,8.710415842,3.880650022,32,49.00917818,46.86047926
Romania,Eastern Europe,Upper-Middle,Single-payer,9.670035885,249,3.673231876,79.11182697,7.714406107,86.25180371,69.74339769,62,6.401769826,10.65899627,3.121249769,18,68.04390481,7.95143997
Sudan,Africa,Low,Mixed,4.298664296,137,1.165921502,56.64694872,58.31155547,-2.548841328,55.96187961,135,2.24004771,2.34744821,1.748146115,78,11.54713909,16.46064958
Sudan,Africa,Low,Mixed,4.385965698,125,1.228822954,56.65371868,51.56294839,-2.530485485,51.42739131,123,2.167187542,2.186566824,1.780584192,71,11.36619594,16.44481359
Slovenia,Eastern Europe,High,Single-payer,14.67826427,366,4.713263906,81.07554284,6.204275414,91.73400264,97.7972359,50,7.12976269,12.40719322,6.717774876,10,78.86987387,3.967304873
Czech Republic,Eastern Europe,High,Single-payer,16.63434557,319,4.530371438,80.79288221,3.567886019,86.75871202,75.46167956,66,9.044825896,9.675091278,4.395825762,18,80.3113954,1.992559082
Kuwait,Middle East,High,Single-payer,9.676237954,374,3.043574321,83.99713192,1.672734421,81.50841382,88.03362679,33,7.031885248,11.27798194,7.728541672,10,77.52514929,10.19667439
Kuwait,Middle East,High,Single-payer,8.720158359,377,3.276286948,84.68852148,1.828123679,81.49670498,85.16574643,32,6.698703251,11.95643705,8.217371189,9,82.16160847,10.11855094
Congo,Africa,Low,Single-payer,1.183390435,35,0.783276278,68.24572912,47.75841502,57.17546002,45.65423686,84,3.105429225,5.622413962,2.442460551,73,27.09332526,98.98973871
Ivory Coast,Africa,Lower-Middle,Mixed,5.130549688,143,2.223835849,72.76540032,22.27828757,63.88597138,74.82835736,39,6.35600506,7.838549361,3.192317567,34,57.2290158,20.23486988
Palestine,Middle East,Lower-Middle,Mixed,6.06432633,241,2.033585356,72.21004392,22.1309863,50.78737597,58.57282068,31,6.496675805,6.649341608,2.17033632,41,50.86343165,14.30683448
Pakistan,South Asia,Low,Mixed,4.058276216,99,-0.222241853,63.69414816,42.90071797,54.49967406,36.22055926,57,3.832556556,6.9249654,1.328891392,61,28.25060116,22.81961568
Palestine,Middle East,Lower-Middle,Mixed,6.419333567,224,1.835397955,73.38494801,20.13776999,48.40932431,63.23247726,32,6.884392968,6.434188427,1.900210731,40,53.67981519,13.82272447
Uganda,Africa,Low,Multi-payer,2.553030606,74,0.680907483,52.75824625,53.17343142,45.43788694,41.88882915,164,2.961746805,5.806796402,2.161159753,47,12.34959878,25.54356264
Afghanistan,South Asia,Low,Single-payer,4.430364779,42,0.416210527,66.19423635,31.99451932,37.7177751,28.85055348,180,3.568247802,4.960292566,1.587050742,56,29.60415688,21.44318026
Turkey,Middle East,Upper-Middle,Single-payer,7.148589542,302,2.222408555,79.0866323,8.167374507,88.13512158,81.88940291,84,5.875164252,10.56724223,4.339253349,31,68.21773009,10.78839666
Greece,Western Europe,Upper-Middle,Single-payer,8.431163378,259,2.9588831,78.03399741,8.63205181,104.5206473,63.67824787,112,9.368938748,7.629158956,2.318393652,21,71.23805993,8.096452494
Yemen,Middle East,Lower-Middle,Mixed,5.364845389,205,1.042655314,68.94103861,16.06763699,67.29290998,70.22705582,124,6.034006478,8.625106569,1.431225366,34,50.30885499,15.63211121
Congo,Africa,Low,Single-payer,1.155758485,33,0.862408615,68.39305594,55.12792251,57.83301834,45.30929644,95,3.673208748,5.342127035,2.46932962,84,27.5216568,95.693442
Lithuania,Eastern Europe,Upper-Middle,Multi-payer,10.4636925,321,2.730666778,75.21784279,13.47859986,82.85183629,69.97960987,62,5.43380961,11.40525733,3.154806493,19,57.7704577,6.781444258
Iraq,Middle East,Lower-Middle,Multi-payer,5.942845271,118,0.947980422,73.35951038,21.25405528,58.33093546,73.83418453,59,5.880561773,8.270041526,3.242412241,26,57.16139126,16.26627879
Denmark,Western Europe,High,Single-payer,16.39710784,559,6.719665571,83.20705159,1.90626633,93.60912481,81.45916988,71,6.576411003,10.12510418,7.175828897,16,80.98026943,3.042320977
Ivory Coast,Africa,Lower-Middle,Mixed,5.006589677,151,1.870528474,72.92333634,23.88251436,61.99888518,74.92158579,43,6.771525706,8.046205186,3.419838663,29,52.74103339,19.10767951
New Zealand,Oceania,High,Single-payer,14.01834673,376,6.407782739,78.25547581,2.334588708,93.4844297,76.00882423,25,8.151013032,11.76842589,6.791359012,20,79.46302873,4.514431907
Romania,Eastern Europe,Upper-Middle,Single-payer,9.098974899,247,3.932198781,79.47029174,7.658546758,91.65334477,69.17900697,66,6.810263061,10.61629188,3.142414328,17,69.3757053,7.972882197
Cambodia,East Asia,Lower-Middle,Single-payer,6.360228149,101,1.477517324,72.01788327,16.65407082,81.87958031,55.74247209,68,4.716921756,7.290673565,2.873895924,27,53.44139829,11.51301721
Saudi Arabia,Middle East,High,Mixed,11.55479899,520,5.702809514,80.19006429,4.539948708,85.93902239,91.72468881,57,7.351738087,11.05056193,3.895551492,10,74.73308165,5.765174927
Syria,Middle East,Lower-Middle,Mixed,5.328568396,83,1.585613816,72.92124134,12.75737927,61.74898117,63.567977,108,5.172006299,7.071079381,2.584145307,41,54.27451708,17.77365309
Romania,Eastern Europe,Upper-Middle,Single-payer,9.016358427,246,3.717148331,80.08674385,7.570958704,83.17981013,64.07996963,60,6.487081058,11.36570084,3.625775632,16,67.43919776,8.133976497
North Korea,East Asia,Low,Single-payer,4.018376786,96,0.93023329,61.88957739,42.19364945,53.17800661,36.44300864,70,2.70504769,2.993058907,5.220833399,92,24.6646325,21.89249583
Israel,Middle East,High,Mixed,12.49186202,445,4.041885155,83.94366034,5.297081784,98.31311105,74.67860521,67,7.159272725,13.26214312,7.893987461,19,77.97758996,5.664957303
Japan,East Asia,High,Mixed,8.1278734,524,7.168052125,84.02865268,6.457259062,83.74019487,100.428464,15,6.782959143,14.96682318,7.858281322,17,86.38391725,11.13223281
Montenegro,Eastern Europe,Lower-Middle,Single-payer,4.02967142,88,1.045500909,70.63483345,12.58185737,43.04503071,55.64310577,33,4.39242765,6.345557472,2.564567609,34,45.79094687,23.45676959
South Korea,East Asia,High,Mixed,11.28336191,431,7.476355856,84.0909582,4.238017166,87.04433202,102.5911448,34,6.697539923,14.46840121,8.913270395,19,85.592592,5.342571405
Qatar,Middle East,High,Mixed,11.31634897,263,5.8061394,83.78619219,4.50217961,90.08298733,81.90377355,42,7.562701506,13.6640265,6.315242394,18,79.37643765,6.152486263
Laos,East Asia,Lower-Middle,Single-payer,5.953194887,220,1.969519925,75.63797446,29.32092128,48.8700662,69.38859229,21,5.359310538,8.106440786,5.892278701,26,51.79886612,12.94448039
Estonia,Eastern Europe,High,Single-payer,12.09354197,422,4.594390814,79.5575246,3.939598888,99.07543953,86.87542784,32,8.888554373,11.16735795,7.981488957,13,81.70264977,4.505316806
Yemen,Middle East,Lower-Middle,Mixed,5.486580426,199,0.988831482,69.29052557,15.72164577,70.68364245,70.98416506,130,6.377859278,8.096325912,1.437030663,32,52.66314749,15.4002189
Taiwan,East Asia,High,Single-payer,9.565123588,506,6.38877279,83.85453579,4.730207007,95.69149641,88.33234305,27,6.337953195,11.38206425,7.343110237,15,84.85674476,8.352673824
Ukraine,Eastern Europe,Lower-Middle,Single-payer,4.90276832,164,1.443529512,68.89261017,27.66023603,63.08018347,54.88676233,52,3.402236337,6.564989334,1.516252462,28,42.20858425,19.07260189
Hungary,Eastern Europe,Upper-Middle,Single-payer,10.36586952,321,1.539078232,73.22368806,14.03490233,80.61818179,75.31496431,28,7.075367091,12.32473208,4.248659411,19,67.47385176,7.189990858
Kuwait,Middle East,High,Single-payer,8.375155333,320,3.130831025,84.13148415,1.981669301,88.36322308,85.31668264,34,6.344586199,11.52647779,7.77998625,11,78.21547203,9.89576243
Bangladesh,South Asia,Low,Mixed,3.326169882,63,0.675645429,53.03310635,58.03735467,42.71274868,56.48268847,189,4.791644169,5.523270948,1.886178379,73,13.91528886,20.19824685
Portugal,Western Europe,Upper-Middle,Multi-payer,8.575755656,207,2.040947246,73.66136516,6.980298114,68.92431964,66.23566578,56,7.003205237,9.254688766,2.882947535,21,63.48345075,8.8327379
Belarus,Eastern Europe,Lower-Middle,Single-payer,3.479790413,103,1.718761273,72.64485688,19.26771307,42.19077495,72.77725957,60,4.37399905,9.274441575,2.365164904,34,49.86874729,28.33126877
Paraguay,South America,Lower-Middle,Single-payer,4.146819968,117,1.733724915,70.46105254,14.76551543,40.7921885,66.70580434,20,4.899506602,4.99057706,2.514913391,27,51.47924715,23.83526559
Czech Republic,Eastern Europe,High,Single-payer,17.59168658,332,4.530663208,80.14639112,3.098727234,82.78016731,76.90102292,74,9.456061192,10.37876542,4.594638285,21,78.1314867,1.906984991
Luxembourg,Western Europe,High,Single-payer,13.24295686,280,3.046631275,84.28580515,6.660797295,91.62120766,76.83099147,38,9.860787667,13.63639348,6.799813427,10,82.2625249,5.10749336
South Korea,East Asia,High,Mixed,11.49598669,517,6.831301793,82.58253962,4.20027828,84.05147704,107.1193172,41,7.829291941,13.41128764,9.08484392,19,81.85040078,5.243533456
Burundi,Africa,Low,Multi-payer,1.395567412,46,0.230665427,66.59926289,43.35937894,27.32794062,55.39585162,101,2.763341389,5.19289376,1.604207548,75,25.7108085,69.60642083
Ireland,Western Europe,High,Single-payer,12.05058316,350,2.963555641,79.12425457,1.658915061,85.42172551,93.78287831,84,8.734573011,10.71024739,5.194320053,13,79.49629139,5.541791182
Portugal,Western Europe,Upper-Middle,Multi-payer,7.454731536,192,2.089422628,73.89148724,6.94030463,69.13124052,65.06077379,62,7.271519378,11.18664601,3.312368755,24,61.46388745,8.889095726
Uganda,Africa,Low,Multi-payer,2.449452314,68,0.694035182,52.82148019,60.46813372,45.72064277,38.84707613,151,3.283537972,6.904061766,2.219197777,43,12.17592066,27.10505524
Jordan,Middle East,Upper-Middle,Single-payer,5.812495394,180,3.31404469,73.60946335,7.90017608,87.06092787,84.98885691,58,5.795686402,12.0131912,3.144438739,29,69.07829442,14.81242291
Niger,Africa,Low,Mixed,3.317448424,118,0.965348859,52.39318314,37.66078331,-4.531189019,60.528025,90,3.010739599,2.221996765,1.418507851,69,17.56876111,18.86426636
India,South Asia,Lower-Middle,Mixed,4.790805328,132,2.080084651,73.36006206,22.51554182,77.26206292,56.99877586,85,3.678630424,9.091706221,1.901320291,30,47.29687331,19.29957692
Cameroon,Africa,Lower-Middle,Mixed,4.270862282,144,1.600180482,70.77157719,16.34673736,67.56236452,53.23321766,90,4.587071872,6.499783139,2.948842075,32,48.25305436,18.56859161
Morocco,Africa,Upper-Middle,Mixed,8.043398415,169,2.057517559,77.38785024,12.67651744,83.89612984,73.5980163,55,5.197891519,9.527960857,2.988045442,35,60.8686477,9.108271896
Spain,Western Europe,High,Multi-payer,10.03027523,563,3.538754806,80.26743881,6.860991683,109.922377,79.90432403,70,7.295528892,11.73707768,3.918777181,19,76.43981978,6.853416725
Australia,Oceania,High,Single-payer,12.11154815,427,4.779950217,80.00839359,1.81659555,89.73661678,90.3049194,85,8.42254211,11.86925662,5.229441307,14,76.41800014,4.775113615
Portugal,Western Europe,Upper-Middle,Multi-payer,7.599593002,209,1.832400341,73.44750937,6.690835768,70.27985506,69.13401065,57,6.698651156,10.38332924,2.925497368,26,59.94976833,8.470075465
Bolivia,South America,Lower-Middle,Single-payer,4.131805692,244,1.645017292,70.14379079,11.44464536,52.77489226,77.07232261,53,5.385208566,8.009082286,2.578311046,41,50.93689016,21.88457848
Cameroon,Africa,Lower-Middle,Mixed,4.428204955,167,1.509161172,70.13070736,18.26419324,66.30545337,54.45257607,96,4.68292739,7.090331955,3.355776513,32,49.15622199,18.49892169
Qatar,Middle East,High,Mixed,11.88848079,249,5.875420607,83.47868215,5.176065509,86.8678289,85.79471385,42,8.719586178,13.60337636,5.605868812,16,78.89907404,6.404163527
Lebanon,Middle East,Upper-Middle,Single-payer,9.586678507,357,1.901912454,77.92048879,13.65795423,78.15732566,65.96876936,54,6.881716243,7.903685032,4.764992219,26,63.10729548,9.399337418
Kenya,Africa,Lower-Middle,Mixed,2.757708549,188,0.862694048,66.0171465,21.86351021,57.3873579,56.75453356,37,6.493102383,9.006343233,3.032383615,37,48.1547328,32.95564067
Saudi Arabia,Middle East,High,Mixed,11.15976926,512,5.795401508,80.17182545,5.024173386,92.27985495,90.77772908,63,7.307760199,10.47842145,4.142353252,10,77.07689572,5.315597422
Ecuador,South America,Upper-Middle,Mixed,7.734412467,261,2.611158957,74.51620527,8.952999001,88.58687234,72.918286,70,5.039791245,8.119438591,3.247744156,32,62.03310578,9.090913324
Oman,Middle East,High,Mixed,12.61961401,355,5.175961029,83.80213466,6.39575866,82.78988748,85.52424623,84,7.826009044,10.51212844,4.256614705,15,76.47470632,4.636006571
Qatar,Middle East,High,Mixed,12.18951742,266,6.04854457,83.94327687,4.962703594,85.68040028,85.89171479,42,8.454938216,13.74439133,6.326475818,18,83.36337875,5.988934665
Hungary,Eastern Europe,Upper-Middle,Single-payer,8.909251039,336,1.72594231,73.68715641,15.16048705,76.30443112,73.90669253,29,7.347786689,12.52532381,4.433283674,18,62.84313597,7.278517514
Finland,Western Europe,High,Single-payer,8.086909512,382,3.478770743,79.81872647,5.073803553,106.1209686,92.09618141,18,10.82740676,12.41332898,6.014715632,10,85.33413461,10.03923983
Luxembourg,Western Europe,High,Single-payer,13.03990221,262,3.178551202,85.23211023,6.631144471,88.24505227,72.14968169,35,9.401295104,15.06953526,6.681243025,12,81.92967602,5.364250053
Madagascar,Africa,Low,Mixed,3.567567752,57,0.229366966,68.70346896,47.72350442,-0.605997762,41.4206393,44,4.299010371,5.617525588,1.389383197,59,27.05279718,25.65750221
South Korea,East Asia,High,Mixed,11.30540425,499,7.08574095,83.81294827,4.455066438,90.71687313,101.279504,41,7.231103438,14.67098728,9.575180814,19,83.35329831,5.074698563
Iraq,Middle East,Lower-Middle,Multi-payer,5.208203222,105,1.059064132,73.24613327,21.77748164,63.01562448,77.74321386,57,6.807819655,7.22740514,3.198936926,25,53.61378643,16.38079015
Turkey,Middle East,Upper-Middle,Single-payer,7.548596478,274,2.284836791,78.51644934,8.203211019,85.34698979,82.06185906,92,6.523667212,10.58724122,4.056670676,29,68.9430727,10.5800066
Niger,Africa,Low,Mixed,3.496140158,127,0.904992267,52.25032647,37.36755421,-4.286703663,62.27077111,94,2.777352067,2.017378115,1.419297959,62,16.99300433,19.17744175
Rwanda,Africa,Low,Single-payer,3.21398737,107,1.020654187,67.58165145,52.28891312,39.76130754,65.46977801,119,4.675543836,2.599476131,2.000086694,37,28.64097796,30.46630096
Philippines,East Asia,Lower-Middle,Multi-payer,3.26259849,223,1.021781356,74.88619583,25.92364293,39.91633497,94.21531137,116,4.876887709,7.256051384,6.179534718,42,53.50173992,33.66238509
Poland,Eastern Europe,Upper-Middle,Multi-payer,5.566998585,319,3.920472625,74.90424065,7.559307633,76.0239142,81.8562564,30,5.26065421,7.63728414,4.178091914,24,63.39493954,18.60337921
Ivory Coast,Africa,Lower-Middle,Mixed,4.385009925,151,1.985588701,73.2735061,23.60185846,65.68743533,79.06048323,41,6.069034402,7.584123582,3.297688244,36,52.45403512,19.59070042
South Korea,East Asia,High,Mixed,13.30453312,513,6.983588076,83.06053454,4.817803197,84.61026612,103.594714,37,7.695305207,14.63795253,8.771989099,18,86.94899767,5.16860572
Israel,Middle East,High,Mixed,12.50490431,441,4.163101731,82.73914182,4.565503587,97.18367461,77.70781393,67,7.642420315,14.67349169,7.69849547,21,76.81826419,5.659148558
Romania,Eastern Europe,Upper-Middle,Single-payer,9.759293776,242,3.839235557,79.37146348,7.618822215,87.30989485,66.42329563,65,6.990683869,9.651219498,3.549353514,16,68.09855244,8.234486185
Japan,East Asia,High,Mixed,8.233799081,542,6.370722426,84.69022949,6.338729116,84.0053808,98.80149451,16,6.814988455,14.39178434,7.218733227,18,82.65727678,11.15763494
Albania,Eastern Europe,Lower-Middle,Single-payer,3.41841692,130,1.873879206,68.74418404,28.82640887,79.27436548,51.82312369,47,6.439824958,5.42196798,2.826104809,46,48.57488851,29.18323938
Israel,Middle East,High,Mixed,11.47324792,439,3.87845646,82.67635479,4.980329977,94.76037182,73.33513509,69,7.297670376,14.38015321,8.214822031,20,77.57546551,6.02431874
Ivory Coast,Africa,Lower-Middle,Mixed,4.890785552,167,2.188417508,72.93524525,22.65591194,61.85194194,72.88755431,41,5.59635303,7.638346076,3.008912948,34,54.23963408,20.71359977
Estonia,Eastern Europe,High,Single-payer,13.15256968,392,4.982010255,80.44791449,3.75391052,95.55207625,92.78116299,32,9.0980816,10.73800982,7.162694923,14,78.40234214,4.509629634
Nigeria,Africa,Lower-Middle,Mixed,5.607421073,148,2.442949363,64.93802735,20.10727138,38.07519121,67.70087018,45,4.590300001,8.338183483,1.611504411,30,44.24748623,13.57481766
Norway,Western Europe,High,Single-payer,16.42286764,298,4.660629555,80.82447621,7.27759119,97.46303019,93.22626666,81,10.83883383,11.81027967,5.499852574,10,82.04135838,2.231906198
Bangladesh,South Asia,Low,Mixed,3.442145775,61,0.617293147,52.82187562,57.03678919,42.46828981,55.6591628,160,4.436509117,6.732893198,1.702547544,68,15.10718991,18.98221939
Slovenia,Eastern Europe,High,Single-payer,14.07439005,358,5.015917234,80.95003101,6.441667441,89.29325561,92.25655531,41,7.483155252,13.85228002,6.453438906,10,76.41730757,3.798804431
Nepal,South Asia,Low,Mixed,3.741856201,87,1.381543404,58.88946802,60.85913771,49.77136279,51.10365143,91,3.85584153,6.360699746,2.556420531,54,23.60437156,22.17378296
Malawi,Africa,Low,Multi-payer,4.362633521,28,0.589426752,69.01607237,51.85186444,13.78950991,39.15427485,61,2.992910965,5.952699474,1.554134818,40,24.06972792,19.19781705
Tanzania,Africa,Lower-Middle,Single-payer,2.231030458,83,1.224941819,67.49690078,24.53879822,41.22245622,68.66519218,111,4.248469522,9.072583377,1.726422942,23,41.574651,40.44840523
South Africa,Africa,Upper-Middle,Single-payer,5.727994693,303,2.604934309,77.09855889,15.65689702,92.78883942,73.43395154,61,5.573886531,8.01281801,2.555093524,15,64.00188459,15.07208701
Kuwait,Middle East,High,Single-payer,8.056753998,327,3.294238576,83.89332162,1.889769079,81.25210468,85.18817798,33,6.907896254,12.11981232,7.144281963,10,82.01380379,10.31133741
Italy,Western Europe,High,Single-payer,9.5107777,330,5.775138211,77.39720733,2.13636641,108.9416952,76.4776578,93,9.127757046,11.73118541,8.35998417,11,81.83599849,8.836327921
Cambodia,East Asia,Lower-Middle,Single-payer,6.91865681,95,1.574794585,73.17981302,17.58096101,78.21822741,55.44183878,67,4.864981034,8.008710064,2.575350337,25,53.33418089,11.70630972
Thailand,East Asia,Upper-Middle,Single-payer,8.382243446,261,2.845714869,74.89491757,8.766858147,74.16542998,75.86070269,38,5.737159713,11.4444258,4.291743117,30,64.38275238,8.261903881
Lebanon,Middle East,Upper-Middle,Single-payer,7.959985786,341,1.843738957,78.75874949,13.8518417,70.97317986,65.63517183,57,6.536534624,7.318496621,4.347495616,26,61.21184674,8.734073421
Philippines,East Asia,Lower-Middle,Multi-payer,3.094298253,252,0.96545239,75.86221489,22.68801889,41.74183832,92.4613062,121,5.572458903,7.888758783,6.764736319,41,52.97951519,33.85803884
Madagascar,Africa,Low,Mixed,3.360838835,60,0.234160988,68.38166762,50.5796576,-0.615165658,41.82057939,50,4.466337502,6.005972245,1.320628813,50,26.55937935,27.23415866
Malaysia,East Asia,Upper-Middle,Mixed,8.541139626,272,3.428890307,81.01773384,13.09701868,76.25928714,76.90886794,64,4.936749039,9.37487125,5.583968215,35,64.67239051,8.932469777
Mali,Africa,Low,Multi-payer,5.335493435,72,0.206757541,57.93264553,56.77645364,10.09093691,60.1397122,126,2.748900851,2.819504061,0.985909227,85,13.38114715,13.29640732
Cambodia,East Asia,Lower-Middle,Single-payer,6.857827722,106,1.372325521,72.44109987,17.93851742,77.56355716,58.04352071,68,5.218654702,7.027859764,2.671888667,25,54.60235859,11.88215088
Finland,Western Europe,High,Single-payer,8.675736028,353,3.727499838,80.25389001,5.001883191,105.8504579,86.27733152,20,9.885068951,13.52600627,6.208762093,10,82.30669532,9.93911794
South Korea,East Asia,High,Mixed,12.99929507,484,7.098954959,83.51685513,4.46015878,83.78794205,99.78975361,35,7.751338123,15.15241627,9.746975853,16,83.51712113,5.445187632
Sudan,Africa,Low,Mixed,4.294656028,122,1.252489313,56.17099434,57.02356768,-2.574754002,53.87207621,145,2.278560817,2.304352147,1.881403046,79,11.44169871,16.66860884
Burundi,Africa,Low,Multi-payer,1.361076125,43,0.196216916,66.70909636,46.17548734,27.49213651,53.63584971,96,2.833492808,5.588706816,1.7521053,71,25.5838039,72.94457572
Finland,Western Europe,High,Single-payer,9.022211464,358,3.340356851,79.88141202,5.572725681,105.6788273,85.51393849,20,9.932821277,14.23431014,5.32777638,9,88.2263209,9.422615108
Solomon Islands,Oceania,Lower-Middle,Single-payer,5.655020013,196,0.742790168,72.36554464,19.10461421,62.62046773,76.01268448,35,5.775839561,6.300849738,3.763902165,29,52.60266735,15.84393583
Tanzania,Africa,Lower-Middle,Single-payer,2.324103495,79,1.367687953,67.15323721,26.73274836,40.2318074,63.8474587,107,4.876328382,8.207865737,2.01633124,25,42.78788749,41.16999859
Mongolia,East Asia,Lower-Middle,Single-payer,2.831810204,217,1.302459442,74.10557861,19.91284632,41.75055098,70.01671593,74,3.772902028,4.798912391,3.908577998,37,47.81129351,34.24176352
Angola,Africa,Lower-Middle,Mixed,3.54623685,197,0.872242477,63.14918537,30.82304557,24.4695519,51.18786826,68,6.369234885,8.780770303,3.586532778,41,37.16748068,26.48745714
Uruguay,South America,High,Multi-payer,18.48980255,483,6.33748555,79.72807115,4.972562473,90.60414742,97.47912202,84,9.414240756,13.87225007,5.370469215,18,83.36141904,1.952219559
Australia,Oceania,High,Single-payer,12.97759023,458,4.880875323,79.99383188,2.162911873,96.8278471,89.79201823,86,9.520102338,13.68670065,5.596311955,14,78.59710705,4.589691811
Ethiopia,Africa,Low,Multi-payer,1.275267949,29,0.969090498,70.5762132,48.33176396,26.547215,44.61426862,111,3.938264258,3.712418847,2.481873204,76,27.11011671,93.25377252
Burundi,Africa,Low,Multi-payer,1.499979141,46,0.227849712,66.97824559,46.01932989,25.10333158,56.17014163,86,2.90346302,5.214601416,1.67685533,86,26.4803558,73.89093102
Peru,South America,Upper-Middle,Single-payer,7.947774731,277,3.779831401,74.36100908,10.24955,93.00891667,73.14384023,43,6.659726084,10.21328322,4.319789869,21,66.17833485,9.845495635
China,East Asia,Upper-Middle,Single-payer,5.742731403,246,2.810010693,78.19783409,15.63104236,75.83246973,83.26906453,84,6.443915471,11.9166434,7.143371434,24,67.72765109,16.49129561
Japan,East Asia,High,Mixed,7.936172902,552,6.426144999,84.71063512,6.042929577,89.8594727,103.3789827,15,6.225248846,13.34912797,7.39770983,19,80.3847154,10.91796469
Bhutan,South Asia,Lower-Middle,Mixed,3.286064403,100,2.123031337,69.12092515,18.89883176,56.75914631,67.27920768,95,3.599049611,5.155370793,1.836288909,40,45.0017464,26.94335071
Syria,Middle East,Lower-Middle,Mixed,5.420935931,88,1.572816798,72.92527869,12.16297622,63.77599536,63.59183225,110,4.773297457,6.776772906,3.037633387,41,53.46619856,17.33996007
Brazil,South America,Upper-Middle,Single-payer,9.853191002,196,1.608248795,75.77257868,9.500484011,76.41539441,68.27191241,93,7.118223676,11.34230192,4.054981439,24,64.52422828,8.370083141
Hungary,Eastern Europe,Upper-Middle,Single-payer,9.334264389,350,1.593377403,73.90766941,15.04201139,78.85761452,72.63045766,33,7.390042893,11.46095661,4.565323874,21,61.29286782,6.921695797
Burundi,Africa,Low,Multi-payer,1.392224406,44,0.228294135,67.00985062,45.54619749,27.39840385,54.60285387,95,2.939310655,5.263201075,1.531024766,79,27.35051924,72.18238587
Philippines,East Asia,Lower-Middle,Multi-payer,3.408837302,250,0.926420702,75.93096363,24.81660845,39.32852758,93.80798746,106,5.553850011,7.153444391,7.053680451,40,51.68968933,34.40281582
Switzerland,Western Europe,High,Mixed,12.63017987,544,4.6288259,84.43633654,3.483794598,94.5404583,85.96000994,120,8.698367527,13.59712338,3.587892778,23,79.71343755,5.879540384
Bulgaria,Eastern Europe,Upper-Middle,Mixed,5.701124298,166,4.19882519,73.75212854,10.11558091,71.27301493,70.39742996,51,6.289272971,9.374400825,3.795174535,19,66.12147019,17.88032659
North Macedonia,Eastern Europe,Lower-Middle,Single-payer,5.553128899,241,0.936262929,69.10549281,12.94596904,65.53656583,53.29172924,69,5.169139949,8.72585895,2.626012891,45,51.0774498,16.1652389
China,East Asia,Upper-Middle,Single-payer,5.485490225,250,3.0497128,77.58785008,13.77436649,72.88786574,88.33046168,78,6.432240377,11.09065174,6.112799497,23,68.94537287,16.32446912
USA,North America,High,Multi-payer,17.61570459,360,7.461126359,78.16728202,4.049887628,87.25203821,81.6107958,26,8.403658408,10.3219227,6.385362877,13,78.69717016,1.410828537
Sudan,Africa,Low,Mixed,3.766069879,125,1.218768637,56.86877579,49.32814962,-2.660419339,52.1745923,143,2.209805657,2.614714909,1.872108508,76,10.65153006,16.90080287
Ecuador,South America,Upper-Middle,Mixed,8.09271327,258,2.737670222,74.25329135,10.67089031,91.90826502,74.03513763,70,4.931861707,7.865161901,3.10536989,35,61.11628389,9.286534582
Maldives,South Asia,Upper-Middle,Mixed,6.947471214,161,3.051662537,71.94573216,10.7391079,86.68361425,92.2529313,71,5.16486746,8.540108271,2.282043435,18,60.7375857,10.37333467
Ethiopia,Africa,Low,Multi-payer,1.249378342,27,0.911510146,69.80827905,41.02684331,25.19818427,42.43498154,98,4.080527186,3.21863042,2.18616988,75,27.93515256,93.15929987
Uganda,Africa,Low,Multi-payer,2.912497256,71,0.612599298,52.42326488,62.23060822,48.46236159,40.40985107,153,3.178677848,6.924663169,2.500194033,47,11.61742409,26.41598114
Iceland,Western Europe,High,Single-payer,16.68713852,542,3.196081788,81.57124992,8.049254364,100.544135,81.59533983,46,8.960654892,12.37925632,7.785351156,10,81.13814392,1.924695568
Belgium,Western Europe,High,Single-payer,15.13913425,266,7.453181495,81.14160879,3.318485105,107.8295372,88.81906806,56,11.6406217,11.55173124,8.444910502,10,91.60967983,3.658694282
Madagascar,Africa,Low,Mixed,3.212659875,52,0.240589935,68.31146865,48.10993873,-0.59693138,42.58760758,43,4.09423653,5.113102558,1.558021329,56,25.60843115,26.79179794
Moldova,Eastern Europe,Lower-Middle,Single-payer,6.422094087,133,2.363576063,72.1478779,20.27430373,78.41913417,59.15590979,60,4.382553067,8.307377635,3.242157577,36,49.45573928,13.39037086
North Korea,East Asia,Low,Single-payer,3.594507858,96,1.00658241,61.13591074,37.58933275,54.39499379,34.12042149,74,2.641728042,3.087474878,4.6007709,80,25.77285068,21.15219923
Ivory Coast,Africa,Lower-Middle,Mixed,4.555730958,167,2.16769472,72.06487969,21.22125056,62.17499518,77.28124175,42,6.708303548,7.440503363,3.019889605,33,55.61232363,19.5953765
